instructions:u,cycles:u
3758304,2389160
3824852,2380391
3780880,2390501
3853013,2396852
3716827,2365743
3755466,2391021
3837578,2393242
3749096,2385824
3731325,2378015
3771945,2389640
3645173,2386341
3607790,2362565
3743046,2390993
3676998,2386840
3680094,2389045
3810302,2377291
3775153,2389814
3774469,2386579
3751812,2366204
3719170,2389870
3805297,2386955
3763181,2389311
3749501,2380161
3834412,2391788
3731608,2386976
2524418,1614134
None,None
None,None
None,None
2047458,1332615
3835844,2392950
3791196,2387752
3734799,2359155
3854017,2396362
3777513,2388535
3847361,2389257
3758980,2379087
3779013,2391600
3853651,2387964
3755964,2364741
3802224,2394757
3878649,2389769
3820180,2385424
3805965,2376663
3867047,2387465
3780588,2385123
3742334,2367762
3785739,2395968
3690228,2394876
3751995,2385657
3632157,2381305
3644814,2392248
3719440,2389566
3638429,2362810
3681009,2389756
3771307,2389332
3729573,2386366
3717213,2382863
3814950,2389588
3756511,2386429
3747672,2380140
3840030,2390682
3779941,2395402
3763401,2389888
3785179,2375161
3746100,2391871
3756285,2385465
3772066,2361244
3779762,2390991
3849651,2394358
3742879,2386687
3704520,2359167
3816810,2388514
3720850,2388021
3680084,2362471
3832106,2387946
3794423,2393044
3784669,2388987
3800223,2377586
3735724,2388242
3730445,2386547
3813326,2364063
3781061,2387908
3881314,2396784
3788989,2385577
3776303,2378193
3839004,2388751
3688829,2388138
3648429,2365951
3772770,2388852
3720246,2389714
3710626,2387312
3771550,2396481
3666972,2390379
3664410,2385713
3782342,2363780
3784220,2393107
3772103,2385804
3813572,2388710
3717265,2378210
3820878,2393388
3778574,2388520
3723868,2365011
3822194,2387828
3690784,2386093
3710208,2394567
3784963,2375197
3784048,2388953
3785858,2389425
3787227,2358237
12008676,7618755
3711961,2388442
3799786,2388873
3738506,2385973
3717266,2376068
3810751,2388411
3722118,2386465
3644104,2364160
3828035,2388353
3775564,2386141
3782491,2392765
3784290,2377561
3708797,2388165
3716874,2388841
3812877,2380755
3754042,2387482
3835084,2385652
3727120,2390535
3697015,2375975
3812629,2386685
3809119,2389316
3774503,2366794
3865964,2390851
3771295,2387592
3764502,2385715
3788311,2382723
3693530,2388611
3691898,2389837
3682283,2318223
3729200,2388901
3718604,2385959
3754560,2387428
3652818,2379458
3759597,2390790
3744965,2386706
3630251,2317760
3824787,2390658
3763093,2389679
3759750,2388360
3807293,2383372
3732948,2389157
3735027,2390973
3666146,2318210
3671872,2388334
3672423,2386113
3756344,2389914
3671369,2392557
3667515,2388988
3796173,2386327
3626191,2317954
3739658,2391725
3832857,2386340
3766240,2386342
3820287,2373919
3774224,2390651
3764943,2389614
3720294,2322224
3724522,2388449
3738113,2389445
3808177,2390036
3719703,2380007
3742176,2388230
3821031,2390517
3644796,2321647
3756882,2388468
3843205,2384750
3784827,2386129
3836328,2379063
3765602,2391954
3773685,2390257
3705064,2322656
3651125,2395358
3640710,2387161
3744533,2387992
3717739,2373447
3749028,2388432
3825507,2396766
3631526,2323037
3763791,2408319
3841012,2388148
3805959,2391220
1388650,871542
None,None
None,None
None,None
None,None
None,None
None,None
837087,537620
3813154,2391454
3690825,2390009
3572952,2314206
3823030,2390827
3790415,2384606
3803128,2385778
3823395,2373123
3772850,2390943
3778789,2391530
3739478,2323296
3770462,2392076
3831666,2389812
3740775,2387934
3718655,2375331
3817846,2388207
3775556,2388958
3674768,2323894
3823345,2390000
3699660,2385801
3704647,2385991
3721755,2363505
3697142,2406555
3659095,2385448
3729149,2324066
3780252,2386977
3785723,2389788
3702791,2385593
3594547,2372038
3699277,2387974
3774174,2388844
3684019,2323565
3847045,2387369
3779381,2388208
3782903,2389393
3816100,2381668
3726595,2390926
3717450,2385506
3704832,2323368
3754166,2392653
3748643,2388592
3833625,2391237
3736221,2379348
3764054,2393709
3866519,2388803
3600036,2270971
3883836,2401997
3799307,2390234
3809543,2388946
3857198,2378449
3810876,2391278
3805147,2385908
3832901,2375786
3765109,2398661
3775771,2407252
3843549,2387644
3762577,2378527
3785903,2390111
3799868,2385900
3689872,2366901
3809857,2394085
3743845,2389543
3731044,2385530
3796512,2377989
3773957,2391831
3767711,2391187
3773327,2381100
3659557,2393711
3654161,2390626
3740437,2389231
3655563,2384248
3672272,2388678
3823385,2386745
3773815,2380770
3796120,2391422
3841548,2388949
3752283,2386112
3810037,2382809
3721105,2388160
3724759,2388619
3791339,2387944
12984643,8332820
3719053,2387466
3810884,2388013
3778749,2389345
3746726,2369493
3869849,2405421
3727844,2389095
3686732,2362106
3797236,2391792
3698547,2389933
3704742,2386699
3800836,2379862
3788176,2387355
3789924,2392065
3808134,2364399
3768593,2391336
3773935,2389652
3855797,2385720
3714593,2346787
3871770,2390759
3806309,2392985
3742518,2360914
3856594,2390487
3774682,2390206
3766824,2385779
3798542,2376657
3745416,2397408
3724485,2385691
3805864,2362230
3808479,2389568
3790587,2385236
3819374,2385952
3731274,2381279
3816326,2387118
3742131,2388018
3707003,2370092
3802358,2386820
3690190,2403278
3673888,2385255
3742604,2379020
3683659,2387685
3685785,2385425
3791372,2374086
3764026,2387276
3768667,2389198
3811442,2386664
3716794,2377655
3727919,2387344
3779844,2385343
3668831,2363345
3793991,2392291
3713501,2387749
3719418,2386007
3795941,2379049
3813588,2391452
3798273,2391174
3842187,2365034
3819884,2387880
3839417,2389523
3854081,2385695
3756587,2381350
3764342,2387085
3769484,2388677
3590464,2325012
3768202,2388392
3696648,2390518
3680786,2387774
3755579,2379909
3759418,2390423
3783805,2405378
3717744,2323321
3714643,2391094
3720903,2390618
3757561,2389863
3657091,2380620
3677152,2390331
3745023,2386587
3562699,2318084
3669273,2387299
3798744,2393830
3737351,2386703
937321,593886
None,None
None,None
None,None
None,None
None,None
None,None
1844265,1192180
3820908,2386539
3768691,2389968
3758985,2380571
3839443,2389937
3767981,2390533
3853475,2392186
3730662,2390904
3727102,2386280
3805333,2386089
3732716,2387809
3743936,2390146
3817948,2389282
3754248,2388937
3782938,2407454
3837844,2387096
3780061,2389089
3784925,2391529
3836283,2387687
3763392,2387347
3778150,2389363
3718451,2390868
3645338,2388812
3733309,2389929
3743403,2389489
3741731,2389817
3819392,2389994
3733972,2387066
3733252,2388839
3826313,2386025
3788483,2386103
3781884,2386562
3803402,2388832
3694809,2390019
3684188,2387168
3852423,2388584
3798016,2388496
3878292,2390603
3759294,2383558
3785460,2391014
3844156,2389713
3768028,2391177
3781884,2397671
3823990,2390706
3737415,2389257
3728999,2387268
3859425,2404288
3768778,2386044
3732880,2360740
3799975,2392621
3716967,2386099
3707642,2385053
3739635,2387285
3656448,2386949
3746060,2385581
3777839,2386319
3792730,2394987
3810487,2389015
3627854,2389754
3620923,2388174
3766402,2390637
3778998,2385924
3769980,2384184
3848624,2390582
3780180,2389262
3767895,2385797
3789453,2380592
3720296,2388796
3719422,2385968
3816419,2387031
3747647,2389715
3833777,2394254
3757441,2388682
3744213,2380920
3851756,2395139
3786118,2386248
3764170,2376254
3871876,2391872
3837904,2407496
3810960,2389062
3868763,2380467
11367686,7121552
3730783,2387213
3820593,2390083
3776134,2385059
3743589,2371799
3830019,2387279
3731201,2385543
3682655,2366257
3807335,2391072
3724873,2385296
3728422,2387521
502894,316530
None,None
None,None
None,None
None,None
67681,53264
3812491,2390476
3755071,2388218
3828629,2385825
3624121,2371737
3661112,2395590
3725679,2385774
2293124,1482932
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
None,None
0,0
589313,1016321
1046515,1279623
