instructions:u,cycles:u
4236643,2365455
3126555,1775242
None,None
4149288,2350614
1817310,1028645
4199406,2367634
4219232,2380979
3159564,1766281
None,None
4130037,2342797
1398961,782436
4251120,2365949
4263200,2385303
2974520,1665115
None,None
4138118,2351097
1416734,776459
4201971,2368420
4146852,2383420
2909480,1697924
None,None
4143248,2345488
1870227,1064596
4228055,2366903
4199440,2383698
3052137,1684988
None,None
3924281,2234177
1381423,767076
4133189,2334002
4276655,2386441
2885799,1633717
None,None
3968081,2262866
1421925,777241
3991461,2248870
4233783,2380720
3009807,1691448
None,None
3842931,2177576
1561089,871131
4223155,2366487
4041735,2364124
3169988,1775880
None,None
4115596,2346529
1390083,787590
4070462,2295700
4171632,2381005
3062877,1701777
None,None
3613435,2046410
1815427,1029645
4182434,2366794
4220908,2363250
3166522,1776233
None,None
4159673,2333400
1711364,984264
4241063,2364320
4157253,2364908
3319073,1852674
None,None
4037262,2284824
1798967,1015450
4203471,2368511
4270918,2380218
2992423,1669033
None,None
4096766,2326280
1762659,1018713
4233223,2382367
4225393,2381519
3162740,1765056
None,None
3973742,2343965
1753482,995874
4195255,2367701
4241410,2380576
3170968,1777663
None,None
4151192,2342050
1396185,780681
4213235,2361664
4224655,2383836
3006883,1651533
None,None
3928267,2328743
1434569,793783
4204201,2385897
4225248,2381674
3061603,1722423
None,None
3809846,2153191
1634587,915722
4191288,2364025
4263485,2384175
2946436,1673439
None,None
4109544,2328458
1438170,807247
4271105,2388448
4223596,2384169
3190094,1779220
None,None
3897545,2191848
1418027,785567
3916327,2249962
4245863,2383707
2997810,1679726
None,None
4113534,2340883
1723776,985742
4174676,2368342
4169272,2364070
3265095,1839791
None,None
4124150,2327564
1449547,831793
4040142,2252084
4262799,2383525
3232199,1795125
None,None
3806934,2136025
1704901,962889
4185374,2385019
4240196,2380608
3070804,1714606
None,None
4156783,2342936
1410595,799991
4272941,2388449
4234493,2384434
3101179,1731154
None,None
4083518,2329769
1446333,806674
4229821,2386912
4209903,2384583
2922125,1704743
None,None
3476226,1950636
1544781,864774
4185107,2366942
4233972,2363707
3146068,1765472
None,None
4163564,2343746
1396583,779989
4098596,2300000
4254992,2380169
2858486,1693379
None,None
4163137,2357148
1627194,918869
4171880,2368910
4228997,2381309
2981707,1664835
None,None
3622272,2043196
1693630,952287
4190172,2363512
4190812,2365986
3125792,1768316
None,None
4146127,2328014
1701014,976305
4215568,2367767
4206234,2366280
3341083,1861099
None,None
4041587,2332918
1440997,814650
4169487,2368183
4219132,2361387
3307374,1856143
None,None
3698930,2086849
1597600,929013
4192373,2364224
4174032,2367864
3183643,1760957
None,None
4123265,2359390
1509053,843931
4192755,2365810
4263304,2366084
3158363,1761727
None,None
4144618,2331035
1509088,880246
4207561,2375300
4206348,2363341
3297594,1835965
None,None
3802986,2137022
1707100,967255
4216885,2367653
4198626,2363218
3135869,1763739
None,None
4072503,2326782
1488422,816020
4216133,2368407
4055686,2381357
3182812,1793726
None,None
4143377,2333795
1436934,817520
4226073,2367171
4257566,2381710
3146665,1759275
None,None
3462522,1938736
1478994,838346
4100669,2391529
4172766,2380444
3132763,1749463
None,None
3996515,2326606
1450017,829585
4207718,2393115
4240380,2380907
3259479,1819223
None,None
3811231,2117456
1778338,1023749
4268613,2391874
4205723,2363747
3125328,1729075
None,None
4084374,2328037
1783808,1012254
4224004,2393489
4235894,2381126
3238668,1810056
None,None
3823428,2135358
1481270,854037
4247230,2385813
4240778,2386599
3092055,1715330
None,None
3756174,2126208
1811641,1032887
4191111,2384479
4251195,2384400
3084034,1720548
None,None
4139885,2344833
1868545,1074011
4191798,2366338
4229132,2383974
3103348,1709551
None,None
3925762,2221298
1401436,791168
3997882,2252719
4248078,2380743
3019765,1687252
None,None
4121405,2343372
1458299,793494
4098762,2303321
4275567,2387688
3039658,1696014
None,None
4179718,2341255
1890570,1080977
4213665,2362022
4203274,2389588
3027685,1692181
None,None
3806865,2114280
1774252,1002697
4211548,2369196
4293620,2391233
3217517,1800721
None,None
4107044,2335511
1757469,1018266
4178024,2365919
4257947,2384339
3088896,1792033
None,None
4113573,2327436
1430939,801433
4007703,2251133
4287123,2384943
3079214,1715846
None,None
4125351,2341497
1446275,790491
4207249,2366292
4273746,2385598
2994715,1674246
None,None
3870063,2171905
1792647,1030157
4202140,2364079
4215227,2364435
3217047,1779826
None,None
4095995,2334444
1821054,1024242
4205431,2367957
4226675,2363661
3308665,1857645
None,None
4119750,2334176
1827344,1041410
4206813,2366320
4238411,2363833
3260501,1830387
None,None
4055704,2306491
1832604,1041842
4240101,2364737
4225715,2362461
3264277,1795793
None,None
4072264,2323973
1680113,956782
4211389,2365872
4239280,2361089
3370934,1881268
None,None
3863870,2155158
1695765,973505
4275676,2387878
4266567,2384823
3116819,1716850
None,None
4164841,2347381
1927203,1085641
4199606,2365731
4286814,2383846
3029778,1691869
None,None
4123097,2319156
1466505,819054
3960107,2204477
4233773,2381316
3113932,1775173
None,None
4097302,2331355
1826527,1029086
4119264,2364053
4235172,2386131
3199136,1804385
None,None
3783947,2129300
1551705,860328
4241428,2363732
4204384,2363498
3179235,1778936
None,None
3801527,2115752
1662298,949686
4216046,2364393
4218069,2360109
3170850,1781936
None,None
3636352,2043504
1702666,962086
4233563,2380531
4258537,2386116
3108985,1736592
None,None
4137979,2330243
1433321,808307
4022684,2249513
4212772,2383133
3171784,1766978
None,None
3643033,2041304
1829156,1027974
4187748,2365976
4227818,2360980
3171503,1787543
None,None
3677099,2091163
1738847,989840
4231958,2366230
4182719,2361001
3184107,1786457
None,None
4149808,2330639
1430962,800373
4134907,2312411
4271970,2388615
3082792,1725197
None,None
4095813,2329300
1671291,932407
4215475,2377870
4119218,2365477
3304740,1855331
None,None
3812519,2131069
868353,583156
2427799,1720610
4256951,2376229
3101358,1735890
None,None
4126115,2329463
1592365,888542
4192113,2363397
