starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 09 22:50:10 2019	1547041810	0	59	59	1
Wed Jan 09 22:49:59 2019	1547041799	0	60	60	44
Wed Jan 09 22:50:10 2019	1547041810	0	60	60	1
Wed Jan 09 22:50:09 2019	1547041809	0	60	60	1
Wed Jan 09 22:49:58 2019	1547041798	0	61	61	1
Wed Jan 09 22:50:09 2019	1547041809	0	61	61	1
Wed Jan 09 22:49:59 2019	1547041799	0	62	62	1
Wed Jan 09 22:50:01 2019	1547041801	0	62	62	1
Wed Jan 09 22:50:08 2019	1547041808	0	62	63	1
Wed Jan 09 22:50:10 2019	1547041810	0	63	63	1
Wed Jan 09 22:50:10 2019	1547041810	0	63	63	1
Wed Jan 09 22:50:08 2019	1547041808	0	63	63	1
Wed Jan 09 22:50:00 2019	1547041800	0	64	64	1
Wed Jan 09 22:50:00 2019	1547041800	0	64	64	1
Wed Jan 09 22:50:09 2019	1547041809	0	64	64	1
Wed Jan 09 22:50:10 2019	1547041810	0	65	65	1
Wed Jan 09 22:50:10 2019	1547041810	0	66	66	1
Wed Jan 09 22:49:59 2019	1547041799	0	67	67	1
Wed Jan 09 22:49:59 2019	1547041799	0	67	68	1
Wed Jan 09 22:50:00 2019	1547041800	0	67	68	1
Wed Jan 09 22:49:58 2019	1547041798	0	68	68	1
Wed Jan 09 22:49:59 2019	1547041799	0	68	68	1
Wed Jan 09 22:50:10 2019	1547041810	0	68	68	1
Wed Jan 09 22:49:58 2019	1547041798	0	68	68	1
Wed Jan 09 22:50:09 2019	1547041809	0	68	68	1
Wed Jan 09 22:50:01 2019	1547041801	0	68	68	1
Wed Jan 09 22:50:10 2019	1547041810	0	69	69	1
Wed Jan 09 22:50:09 2019	1547041809	0	69	69	1
Wed Jan 09 22:50:10 2019	1547041810	0	69	70	1
Wed Jan 09 22:50:08 2019	1547041808	0	70	70	1
Wed Jan 09 22:49:58 2019	1547041798	0	70	70	1
Wed Jan 09 22:50:09 2019	1547041809	0	70	70	1
Wed Jan 09 22:50:00 2019	1547041800	0	70	70	1
Wed Jan 09 22:50:07 2019	1547041807	0	71	72	1
Wed Jan 09 22:50:08 2019	1547041808	0	72	72	1
Wed Jan 09 22:50:00 2019	1547041800	0	76	76	60
Wed Jan 09 22:50:09 2019	1547041809	0	76	76	1
Wed Jan 09 22:50:00 2019	1547041800	0	76	76	1
Wed Jan 09 22:50:07 2019	1547041807	0	76	76	1
Wed Jan 09 22:50:00 2019	1547041800	0	77	77	1
Wed Jan 09 22:49:59 2019	1547041799	0	77	77	1
Wed Jan 09 22:49:58 2019	1547041798	0	78	78	1
Wed Jan 09 22:50:07 2019	1547041807	0	80	81	65
Wed Jan 09 22:50:08 2019	1547041808	0	85	85	1
Wed Jan 09 22:49:59 2019	1547041799	0	89	90	1
Wed Jan 09 22:50:06 2019	1547041806	0	91	92	20
Wed Jan 09 22:50:09 2019	1547041809	0	102	102	1
Wed Jan 09 22:50:07 2019	1547041807	0	103	103	1
Wed Jan 09 22:50:02 2019	1547041802	0	685	685	87
Wed Jan 09 22:50:03 2019	1547041803	0	914	914	257
Wed Jan 09 22:50:04 2019	1547041804	0	985	985	918
Wed Jan 09 22:50:01 2019	1547041801	0	1128	1128	609
Wed Jan 09 22:50:05 2019	1547041805	0	1548	1548	971
