starttime	seconds	ctime	dtime	ttime	wait
Thu Jan 10 01:55:07 2019	1547052907	0	874	875	179
Thu Jan 10 01:55:07 2019	1547052907	1	875	875	183
Thu Jan 10 01:55:07 2019	1547052907	0	875	875	235
Thu Jan 10 01:55:07 2019	1547052907	0	875	876	206
Thu Jan 10 01:55:07 2019	1547052907	0	876	876	321
Thu Jan 10 01:55:07 2019	1547052907	0	875	876	237
Thu Jan 10 01:55:07 2019	1547052907	0	876	876	205
Thu Jan 10 01:55:07 2019	1547052907	0	875	876	236
Thu Jan 10 01:55:07 2019	1547052907	1	876	876	236
Thu Jan 10 01:55:07 2019	1547052907	0	876	877	255
Thu Jan 10 01:55:07 2019	1547052907	0	877	877	254
Thu Jan 10 01:55:07 2019	1547052907	0	877	877	494
Thu Jan 10 01:55:07 2019	1547052907	0	877	877	161
Thu Jan 10 01:55:07 2019	1547052907	0	880	880	512
Thu Jan 10 01:55:04 2019	1547052904	0	883	883	583
Thu Jan 10 01:55:05 2019	1547052905	0	883	884	529
Thu Jan 10 01:55:07 2019	1547052907	0	887	887	492
Thu Jan 10 01:55:07 2019	1547052907	0	888	888	492
Thu Jan 10 01:55:07 2019	1547052907	0	895	895	238
Thu Jan 10 01:55:08 2019	1547052908	0	895	895	559
Thu Jan 10 01:55:07 2019	1547052907	0	896	897	239
Thu Jan 10 01:55:07 2019	1547052907	0	897	897	237
Thu Jan 10 01:55:04 2019	1547052904	1	903	904	540
Thu Jan 10 01:55:03 2019	1547052903	2	904	906	593
Thu Jan 10 01:55:08 2019	1547052908	0	907	907	558
Thu Jan 10 01:55:08 2019	1547052908	0	908	908	560
Thu Jan 10 01:55:08 2019	1547052908	0	909	909	670
Thu Jan 10 01:55:03 2019	1547052903	2	907	909	553
Thu Jan 10 01:55:08 2019	1547052908	0	909	910	557
Thu Jan 10 01:55:08 2019	1547052908	0	912	912	425
Thu Jan 10 01:55:08 2019	1547052908	0	913	914	676
Thu Jan 10 01:55:03 2019	1547052903	0	914	915	629
Thu Jan 10 01:55:05 2019	1547052905	0	916	917	291
Thu Jan 10 01:55:05 2019	1547052905	0	921	921	571
Thu Jan 10 01:55:07 2019	1547052907	0	927	927	137
Thu Jan 10 01:55:07 2019	1547052907	0	934	935	238
Thu Jan 10 01:55:05 2019	1547052905	0	938	939	637
Thu Jan 10 01:55:08 2019	1547052908	0	939	939	637
Thu Jan 10 01:55:08 2019	1547052908	0	940	940	564
Thu Jan 10 01:55:07 2019	1547052907	0	944	944	239
Thu Jan 10 01:55:08 2019	1547052908	0	944	944	458
Thu Jan 10 01:55:03 2019	1547052903	0	955	956	664
Thu Jan 10 01:55:08 2019	1547052908	0	957	957	799
Thu Jan 10 01:55:05 2019	1547052905	0	959	959	611
Thu Jan 10 01:55:08 2019	1547052908	0	959	960	457
Thu Jan 10 01:55:08 2019	1547052908	0	965	965	456
Thu Jan 10 01:55:05 2019	1547052905	0	972	973	356
Thu Jan 10 01:55:07 2019	1547052907	0	975	976	553
Thu Jan 10 01:55:08 2019	1547052908	0	976	977	455
Thu Jan 10 01:55:08 2019	1547052908	0	980	980	729
Thu Jan 10 01:55:08 2019	1547052908	0	985	985	768
Thu Jan 10 01:55:06 2019	1547052906	0	988	988	226
Thu Jan 10 01:55:05 2019	1547052905	0	988	989	921
Thu Jan 10 01:55:03 2019	1547052903	0	992	992	917
Thu Jan 10 01:55:05 2019	1547052905	0	1012	1012	541
