instructions:u,cycles:u
None,None
2215719,2277305
771413,773715
2295475,2309034
2315464,2329689
1601193,1580815
None,None
2211239,2285014
743560,761896
2264898,2270318
2309555,2325655
1686341,1655543
None,None
2226093,2284726
733912,751718
2201209,2205660
2298265,2319078
1656642,1646916
None,None
2210690,2277433
739635,759529
2242765,2302795
2316533,2306569
1656668,1646769
None,None
2208695,2266506
790121,802356
2159645,2198696
2323294,2328850
1766760,1754697
None,None
2106188,2146023
745859,769990
2144526,2191672
2326586,2325928
1654659,1646737
None,None
2189493,2290667
904626,1028127
2272195,2308936
2322202,2339893
1644519,1662124
None,None
2145302,2260532
843963,879713
2300950,2309363
2318220,2321490
1826132,1819194
None,None
1972457,2056257
746673,770257
2239118,2266926
2328061,2329864
1650338,1647167
None,None
1831077,1906003
802639,846142
2297525,2314901
2315045,2313139
1750331,1749986
None,None
2055305,2163561
752827,774925
2205068,2240467
2301954,2305438
1637488,1672243
None,None
2173336,2274382
902956,964809
2276433,2312154
2306744,2308946
1801748,1835091
None,None
2205392,2283373
927566,1005435
2286344,2298526
2242655,2333124
1754215,1746359
None,None
2196770,2274702
747060,770156
2264361,2309851
2242438,2302845
1692291,1704656
None,None
2201340,2291825
950954,1015281
2252690,2316195
2266088,2338893
1638935,1644992
None,None
1973046,2009714
814769,868339
2278184,2307145
2199632,2306303
1691264,1741331
None,None
2026503,2096004
756117,784985
2256294,2307187
2256134,2329921
1555055,1567573
None,None
2026999,2076727
715721,745762
2170648,2207767
2229038,2306400
1651914,1660619
None,None
2178239,2271348
741147,764330
2240220,2310190
2257606,2335180
1546325,1570478
None,None
2126942,2263443
771136,820750
2236916,2307709
2211856,2312851
1792730,1829872
None,None
2139199,2267827
750863,797542
2178107,2292951
2275485,2320806
1787558,1822485
None,None
1911731,1984891
789898,893602
2221501,2328348
2275947,2336426
1651366,1677680
None,None
2143419,2274113
836210,916175
2211341,2337277
2269733,2334107
1736093,1778418
None,None
2143751,2277200
859951,937321
2224126,2337630
2274774,2325974
1730188,1779313
None,None
2122405,2269370
765363,829663
2195618,2322927
2268363,2339466
1763476,1795372
None,None
2133638,2272154
707075,753502
2173055,2302216
2278717,2330040
1731861,1752480
None,None
2146548,2282872
789175,855146
2207315,2326293
2272568,2338110
1731978,1780137
None,None
1917652,2011957
971036,1061835
2171710,2305444
2276792,2329090
1634534,1671729
None,None
2176460,2291293
728892,759047
2194301,2324611
2263269,2335467
1570777,1598921
None,None
2181781,2297696
702136,759535
2177457,2315757
2256366,2346911
1645862,1686796
None,None
2131639,2277817
723884,774740
2139682,2262693
2265180,2332734
1638888,1674773
None,None
2157981,2290486
896702,986403
2182163,2330413
2283601,2333954
1699297,1746208
None,None
2136379,2278898
929893,1014132
2196250,2316603
2278712,2352214
1724889,1757023
None,None
2141148,2278170
975969,1057852
2186719,2314128
2262036,2335822
1637274,1673494
None,None
2156231,2290501
914813,1003752
2204894,2321132
2293671,2349073
1724224,1781648
None,None
2107202,2281659
963196,1048622
2170621,2312989
2266536,2336722
1628953,1667595
None,None
2155483,2276934
902918,992915
2224400,2343464
2259700,2330194
1721184,1765346
None,None
2105748,2226682
712811,755867
2153181,2306695
2238018,2340856
1602426,1634396
None,None
2168563,2310702
721218,784853
2142863,2290477
2269584,2339942
1651970,1700232
None,None
1981810,2073469
709843,749605
2063095,2181802
2242587,2334616
1592846,1654857
None,None
1901934,2009058
821829,897509
2203679,2307268
2198059,2336016
1663201,1723905
None,None
2135562,2293298
695144,742849
2224843,2334288
2200034,2339763
1554756,1608475
None,None
1825578,1939424
906629,1007969
2190601,2307764
2167409,2307565
1657391,1735528
None,None
1976799,2093693
871667,966352
2211092,2314604
2208138,2348952
1647837,1718860
None,None
2032247,2194716
873148,968720
2208328,2318194
2257231,2333497
1605967,1729893
None,None
2032907,2189998
874372,980958
2220228,2329143
2209646,2314630
1612532,1725878
None,None
2112297,2277851
747169,791180
2100917,2228498
2244768,2333703
1614606,1734433
None,None
2089749,2222883
729893,772169
2122319,2248155
2222322,2334378
1597416,1660010
None,None
2065692,2277624
901112,996435
2215694,2328346
2221086,2320375
1745350,1823328
None,None
2030489,2270148
901367,1007407
2208713,2312641
2225175,2333711
